What is your position / job title?,Coded Response
data steward,Data Steward
Director,Other
lecturer,Other
Professor,Researcher
Associate professor,Researcher
Project manager and privacy officer,Project Manager
assistant professor,Researcher
Data manager,Data Manager
Professor,Researcher
Prof. emeritus,Researcher
Sr. Medewerker Kennis- en informatiecentrum,Other
Programma manager,Other
Retired,Other
associate professor,Researcher
senior researcher,Researcher
senior onderzoeker,Researcher
Associate professor,Researcher
Research Data Manager,Data Manager
Product manager,Other
data steward research,Data Steward
PhD,Researcher
Affiliated Researcher,Researcher
IT consultant,Other
researcher / project manager,Researcher
Data steward,Data Steward
,
Librarian,Librarian
data manager,Data Manager
Librarian,Librarian
Data Manager / Steward,Data Manager
consultant datamanagement,Data Manager
Independent Scholar,Other
information specialist,Other
data manager,Data Manager
Data steward,Data Steward
Project manager,Project Manager
Data steward,Data Steward
Data Engineer (Data Documentation and Distribution),Data Steward
Head of Repository,Other
datamanager,Data Manager
Research data manager,Data Manager
Post doctoral researcher and project-manager,Researcher
prof,Researcher
Policy Manager,Other
Data steward ,Data Steward
Researcher,Researcher